系统ID,因子ID,质控功能,仪器通道,加标体积,加标浓度,水样体积,触发间隔,触发时间,质控设备,自动触发
32,U000060,2,1,,0,,1,2,NH4N,1
32,U000101,2,2,,0,,1,2,TP,1
32,U000065,2,3,,0,,1,2,TN,1
32,U000016,2,4,,0,,1,2,CODMn,1
32,U000060,3,1,,6,,1,3,NH4N,1
32,U000101,3,2,,2,,1,3,TP,1
32,U000065,3,3,,10,,1,3,TN,1
32,U000016,3,4,,16,,1,3,CODMn,1
32,U000060,1,1,1,500,150,1,0,SRU,0
32,U000101,1,2,1,100,150,1,0,SRU,0
32,U000065,1,3,1,1000,150,1,0,SRU,0
32,U000016,1,4,1,1000,150,1,0,SRU,0
32,U000060,5,1,,,,1,0,SRU,0
32,U000101,5,2,,,,1,0,SRU,0
32,U000065,5,3,,,,1,0,SRU,0
32,U000016,5,4,,,,1,0,SRU,0
32,U000060,4,1,,6,,1,0,NH4N,0
32,U000101,4,2,,2,,1,0,TP,0
32,U000065,4,3,,10,,1,0,TN,0
32,U000016,4,4,,16,,1,0,CODMn,0
