采集类型,采集设备名称,采集通道ID,系统ID,因子分组ID,因子通道ID,因子名称,单位,数值格式,测点ID,量程下限,量程上限,斜率,截距
OPC,OPC,0,51,工况设施名称,W65003,一期粗格栅液位,单位,N9.2,1,0,0,1,0
OPC,OPC,0,51,工况设施名称,W65006,一期1#污水粗格栅运行,单位,N9.3,1,0,0,1,0
OPC,OPC,0,51,工况设施名称,W65007,一期2#污水粗格栅运行,单位,N9.4,1,0,0,1,0
OPC,OPC,0,51,工况设施名称,W65008,一期粗格栅螺旋输送机运行,单位,N9.5,1,0,0,1,0
OPC,OPC,0,51,工况设施名称,W65013,一期1#雨水粗格栅运行,单位,N9.6,1,0,0,1,0
OPC,OPC,0,51,工况设施名称,W65014,一期2#雨水粗格栅运行,单位,N9.7,1,0,0,1,0
OPC,OPC,0,51,工况设施名称,W65015,一期粗格栅螺旋输送机运行,单位,N9.8,1,0,0,1,0
OPC,OPC,0,51,工况设施名称,W65018,一期进水泵房1#提升泵运行,单位,N9.9,1,0,0,1,0
OPC,OPC,0,51,工况设施名称,W65020,一期进水泵房2#提升泵运行,单位,N9.10,1,0,0,1,0
OPC,OPC,0,51,工况设施名称,W65022,一期进水泵房3#提升泵运行,单位,N9.11,1,0,0,1,0
OPC,OPC,0,51,工况设施名称,W65023,一期进水泵房1#雨水泵运行,单位,N9.12,1,0,0,1,0
OPC,OPC,0,51,工况设施名称,W65024,一期进水泵房2#雨水泵运行,单位,N9.13,1,0,0,1,0
OPC,OPC,0,51,工况设施名称,W65025,一期1#细格栅运行,单位,N9.14,1,0,0,1,0
OPC,OPC,0,51,工况设施名称,W65026,一期2#细格栅运行,单位,N9.15,1,0,0,1,0
OPC,OPC,0,51,工况设施名称,W65027,一期3#细格栅运行,单位,N9.16,1,0,0,1,0
OPC,OPC,0,51,工况设施名称,W65028,一期细格栅螺旋输送机运行,单位,N9.17,1,0,0,1,0
OPC,OPC,0,51,工况设施名称,W65033,一期曝气沉砂池1#吸砂泵运行,单位,N9.18,1,0,0,1,0
OPC,OPC,0,51,工况设施名称,W65034,一期曝气沉砂池2#吸砂泵运行,单位,N9.19,1,0,0,1,0
OPC,OPC,0,51,工况设施名称,W65035,一期曝气沉砂池2#螺旋输送机运行,单位,N9.20,1,0,0,1,0
OPC,OPC,0,51,工况设施名称,W65036,一期曝气沉砂池1#螺旋输送机运行,单位,N9.21,1,0,0,1,0
OPC,OPC,0,51,工况设施名称,W65037,一期曝气沉砂池行车越位,单位,N9.22,1,0,0,1,0
OPC,OPC,0,51,工况设施名称,W65038,一期曝气沉砂池沙水分离器运行,单位,N9.23,1,0,0,1,0
OPC,OPC,0,51,工况设施名称,W65041,一期鼓风机房1#鼓风机运行,单位,N9.24,1,0,0,1,0
OPC,OPC,0,51,工况设施名称,W65042,一期鼓风机房2#鼓风机运行,单位,N9.25,1,0,0,1,0
OPC,OPC,0,51,工况设施名称,W65043,一期鼓风机房3#鼓风机运行,单位,N9.26,1,0,0,1,0
OPC,OPC,0,51,工况设施名称,W65044,一期鼓风机频率反馈,单位,N9.27,1,0,0,1,0
