comandid,addr,name
CH00000,I00000,系统工作/停止开关
CH00001,I00001,手动/自动开关
CH00002,I00002,沉沙缸进水阀工作/停止开关
CH00003,I00003,电极桶进水阀工作/停止开关
CH00004,I00004,制样泵工作/停止开关
CH00005,I00005,清洗泵工作/停止开关
CH00006,I00006,仪表启动测量工作/停止开关
CH00007,I00007,1#采样泵工作/停止开关
CH00008,I00008,2#采样泵工作/停止开关
CH00009,I00009,沉沙缸排水阀工作/停止开关
CH00010,I00010,电极桶排水阀工作/停止开关
CH00011,I00011,空压机工作/停止开关
CH00100,I00100,加药泵工作/停止开关
CH00001,I00101,仪表进样阀工作/停止开关
CH00102,I00102,1#采样阀工作/停止开关
CH00103,I00103,2#采样阀工作/停止开关
CH00104,I00104,样水杯排放阀工作/停止开关
CH00105,I00105,沉砂缸清洗阀工作/停止开关
CH00106,I00106,过滤器清洗阀工作/停止开关
CH00107,I00107,样水杯清洗阀工作/停止开关
CH00108,I00108,声光报警工作/停止开关
CH00109,I00109,沉沙池液位低
CH00110,I00110,沉沙池液位高
CH00111,I00111,样品杯低液位
CH00112,I00112,样品杯高液位
CH00200,I00200,自来水压力开关信号
CH00201,I00201,样品水压力开关信号
CH00202,I00202,湿度报警信号
CH00203,I00203,门禁报警信号
CH00204,I00204,烟雾报警信号
CH00205,I00205,沉沙缸进样阀反馈信号
CH00206,I00206,沉沙缸排放阀反馈信号
CH00207,I00207,1#采样阀反馈信号
CH00208,I00208,电极桶进样阀反馈信号
CH00209,I00209,2#采样阀反馈信号
CH00210,I00210,电极桶排放阀反馈信号
CH11000,Q11000,1#采样阀开关不到位
CH11001,Q11001,沉砂缸进样阀开关不到位
CH11002,Q11002,沉砂缸排放阀开关不到位
CH11003,Q11003,电极桶进样阀开关不到位
CH11004,Q11004,2#采样阀开关不到位
CH11005,Q11005,电极桶排放阀开关不到位
CH11006,Q11006,1#管路或1#采样泵故障
CH11007,Q11007,2#管路或2#采样泵故障
CH10000,Q10000,打开 1#采样泵 
CH10001,Q10001,打开 2#采样泵 
CH10002,Q10002,打开 清洗泵 
CH10003,Q10003,打开 空压机 
CH10005,Q10005,打开 加药泵 
CH10006,Q10006,打开 超声波振荡器 
CH10100,Q10100,打开 沉沙缸进样阀 
CH10101,Q10101,打开 过滤芯清洗阀
CH10102,Q10102,打开 沉沙缸喷洗阀
CH10103,Q10103,打开 沉沙缸排放阀
CH10104,Q10104,打开  1#采样阀 
CH10105,Q10105,打开 电极桶进样阀 
CH10106,Q10106,打开  2#采样阀 
CH10107,Q10107,打开 清洗总阀 
CH10200,Q10200,关闭 空压机总阀
CH10202,Q10202,打开 制样泵 
CH10204,Q10204,打开 样水杯排放阀
CH10205,Q10205,打开 样水杯清洗阀 
CH10206,Q10206,打开 氨氮进样阀 
CH10207,Q10207,打开 电极桶排放阀 
CH10301,Q10301,打开 加药阀 
CH10304,Q10304,打开 分析仪触发 
CH10306,Q10306,打开 系统报警
CH10600,Q10600,系统周期为2小时(打开)
CH10601,Q10601,系统周期为4小时(打开)
CH10602,Q10602,系统周期为6小时(打开)
CH10603,Q10603,系统周期为8小时(打开)
T0003,T0003, 
T0004,T0004,样水杯排放阀排放时间可调整
T0005,T0005,电极桶排水阀排放时间可调整
T0010,T0010,沉沙缸静置时间可调整
T0011,T0011,沉沙缸静置时间可调整
T0016,T0016,采样泵运行时间可调整
T0017,T0017,采样泵运行时间可调整
T0018,T0018,采样泵运行时间可调整
T0019,T0019,外部清洗时间可调整
T0023,T0023,沉沙缸排放阀、样水杯时间可调整
T0024,T0024,采样泵运行时间可调整
T0025,T0025,采样泵运行时间可调整
T0027,T0027,内部清洗时间可调整
