PLC点位,PLC点位名称,应用类型,IO类型,状态说明,状态映射
CH00000,系统工作/停止,C,I,0.00=1，系统工作，0.00=0，系统停止。,
CH00001,手动/自动,C,I,0.01=1，系统自动，0.01=0，系统手动。,
CH00002,1#企业采样阀开关,C,I,"0.00=1，0.01=0,0.02=1系统1#企业采样阀手动工作，0.02=0系统1#企业采样阀手动停止",
CH00003,2#企业采样阀开关,C,I,"0.00=1，0.01=0,0.03=1系统2#企业采样阀手动工作，0.03=0系统2#企业采样阀手动停止",
CH00004,3#企业采样阀开关,C,I,"0.00=1，0.01=0,0.04=1系统3#企业采样阀手动工作，0.04=0系统3#企业采样阀手动停止",
CH00005,4#企业采样阀开关,C,I,"0.00=1，0.01=0,0.05=1系统4#企业采样阀手动工作，0.05=0系统4#企业采样阀手动停止",
CH00006,仪表启动开关,C,I,"0.00=1，0.01=0,0.06=1系统仪表启动手动工作，0.06=0系统仪表启动手动停止",
CH00007,采样泵开关,C,I,"0.00=1，0.01=0,0.07=1系统采样泵手动工作，0.07=0系统采样泵手动停止",
CH00008,留样器进样阀开关,C,I,"0.00=1，0.01=0,0.08=1系统留样器进样阀手动工作，0.08=0系统留样器进样阀手动停止",
CH00009,样水杯排放阀开关,C,I,"0.00=1，0.01=0,0.09=1系统样水杯排放阀手动工作，0.09=0系统样水杯排放阀手动停止",
CH00010,1#企业电动阀B1开关,C,I,"0.00=1，0.01=0,0.10=1系统1#企业电动阀B1手动工作，0.10=0系统1#企业电动阀B1手动停止",
CH00011,2#企业电动阀B2开关,C,I,"0.00=1，0.01=0,0.11=1系统2#企业电动阀B2手动工作，0.11=0系统2#企业电动阀B2手动停止",
CH00100,3#企业电动阀B3开关,C,I,"0.00=1，0.01=0,1.00=1系统3#企业电动阀B3手动工作，1.00=0系统3#企业电动阀B3手动停止",
CH00101,4#企业电动阀B4开关,C,I,"0.00=1，0.01=0,1.02=1系统4#企业电动阀B4手动工作，1.02=0系统4#企业电动阀B4手动停止",
CH00102,样品杯高液位信号(开关量),S,I,,
CH00103,1#企业采样阀反馈信号(开关量),S,I,,
CH00104,2#企业采样阀反馈信号(开关量),S,I,,
CH00105,3#企业采样阀反馈信号(开关量),S,I,,
CH00106,4#企业采样阀反馈信号(开关量),S,I,,
CH00107,1#企业电动阀B1全开反馈信号(开关量),S,I,,
CH00108,1#企业电动阀B1全关反馈信号(开关量),S,I,,
CH00109,2#企业电动阀B2全开反馈信号(开关量),S,I,,
CH00110,2#企业电动阀B2全关反馈信号(开关量),S,I,,
CH00111,3#企业电动阀B3全开反馈信号(开关量),S,I,,
CH00200,3#企业电动阀B3全关反馈信号(开关量),S,I,,
CH00201,4#企业电动阀B4全开反馈信号(开关量),S,I,,
CH00202,4#企业电动阀B4全关反馈信号(开关量),S,I,,
CH10000,采样泵,S,O,100.00=1，采样泵工作状态，100.00=0，采样泵停止状态,
CH10001,1#企业采样阀,S,O,100.01=1，1#企业采样阀工作状态，100.01=0，1#企业采样阀停止状态,
CH10002,2#企业采样阀,S,O,100.02=1，2#企业采样阀工作状态，100.02=0，2#企业采样阀停止状态,
CH10003,3#企业采样阀,S,O,100.03=1，3#企业采样阀工作状态，100.03=0，3#企业采样阀停止状态,
CH10004,4#企业采样阀,S,O,100.04=1，4#企业采样阀工作状态，100.04=0，4#企业采样阀停止状态,
CH10005,1#企业电动阀B1,S,O,100.05=1，1#企业电动阀B1工作状态，100.05=0，1#企业电动阀B1停止状态,
CH10006,2#企业电动阀B2,S,O,100.06=1，2#企业电动阀B2工作状态，100.06=0，2#企业电动阀B2停止状态,
CH10007,3#企业电动阀B3,S,O,100.07=1，3#企业电动阀B3工作状态，100.07=0，3#企业电动阀B3停止状态,
CH10100,4#企业电动阀B4,S,O,101.00=1，4#企业电动阀B4工作状态，101.00=0，1#企业电动阀B1停止状态,
CH10101,留样器进样阀,S,O,101.01=1，留样器进样阀工作状态，101.01=0，留样器进样阀停止状态,
CH10102,样水杯排放阀,S,O,101.02=1，样水杯排放阀工作状态，101.02=0，样水杯排放阀停止状态,
CH10304,仪表启动,S,O,101.03=1，仪表启动工作状态，101.03=0，仪表启动停止状态,
CH10307,系统自动监测信号,S,O,101.05=1，系统自动工作状态，101.05=0，系统自动停止状态,
CH10306,系统报警,S,O,101.06=1，系统报警状态，101.06=0，系统报警停止状态,
CH10500,流量触发点,S,O,105.00=1，流量触发系统运用，105.00=0，系统不运行。不是触点，而是持续点位。,
C0008,系统运行时间,C0008,C,其输入1就是10分钟，是已10分钟为单位开始计数,
U00000,1#企业电动阀,C,O,,
U00100,2#企业电动阀,C,O,,
U00200,3#企业电动阀,C,O,,
U00300,4#企业电动阀,C,O,,
U00001,1#企业采样阀,C,O,,
U00101,2#企业采样阀,C,O,,
U00201,3#企业采样阀,C,O,,
U00301,4#企业采样阀,C,O,,
U00002,流量触发点,C,O,,
U00003,系统报警,C,O,,
U10000,1#企业原水泵,C,O,,
U10100,2#企业原水泵,C,O,,
U10200,3#企业原水泵,C,O,,
U10300,4#企业原水泵,C,O,,
U10001,1#企业声光告警,C,O,,
U10101,2#企业声光告警,C,O,,
U10201,3#企业声光告警,C,O,,
U10301,4#企业声光告警,C,O,,
