子协议ID,系统ID,站点因子ID,平台因子ID,数值格式
szholly,32,U000911,B01TOTAL,
szholly,32,U000901,B01,
szholly,32,U000001,G001,
szholly,32,U000003,ss,
szholly,32,U000004,phtem,
szholly,32,U000005,do,
szholly,32,U000006,cond,
szholly,32,U000153,ss,
szholly,32,U000011,G011,
szholly,32,U000016,G111,
szholly,32,U000065,G065,
szholly,32,U000060,G060,
szholly,32,U000101,G101,
szholly,32,U000015,G015,
szholly,32,U000191,phe,
szholly,32,U000103,cn,
szholly,32,U000026,G026,
szholly,32,U000020,G020,
szholly,32,U000028,G028,
szholly,32,U000023,G023,
szholly,32,U000029,G029,
szholly,32,U000031,G031,
szholly,21,U000911,B01TOTAL,
szholly,21,U000901,B01,
szholly,21,U000001,G001,
szholly,21,U000003,ss,
szholly,21,U000004,phtem,
szholly,21,U000005,do,
szholly,21,U000006,cond,
szholly,21,U000153,ss,
szholly,21,U000011,G011,
szholly,21,U000016,G111,
szholly,21,U000065,G065,
szholly,21,U000060,G060,
szholly,21,U000101,G101,
szholly,21,U000015,G015,
szholly,21,U000191,phe,
szholly,21,U000103,cn,
szholly,21,U000026,G026,
szholly,21,U000020,G020,
szholly,21,U000028,G028,
szholly,21,U000023,G023,
szholly,21,U000029,G029,
szholly,21,U000031,G031,
3c,22,U000040,a34002,N5.2
3c,22,U000041,a34004,N5.2
3c,22,U000118,a21026,N5.2
3c,22,U000121,a21004,N5.2
3c,22,U000120,a21003,N5.2
3c,22,U000119,a21002,N5.2
3c,22,U000110,a01006,N5.2
3c,22,U000111,a01007,N5.2
3c,22,U000112,a01008,N5.2
3c,22,U000109,a01002,N5.2
3c,22,U000108,a01001,N5.2
