系统ID,告警类型,告警ID,告警名称,告警等级
,0,1,数据超标,3
,0,2,数据超量程,3
,3,30001,软件配置异常,0
,3,30002,软件运行故障,0
,3,30003,软件服务停止,0
,3,31001,数据库损坏,0
,3,31002,数据库服务停止,0
,3,31003,数据库访问异常,0
,3,31101,采集链路通信故障,0
,3,31102,上传链路通信故障,0
,3,31103,设备通信异常,3
,2,21001,动环单元烟雾告警,0
,2,21002,动环单元水淹告警,0
,2,21003,动环单元室温告警,3
,2,21004,动环单元门禁告警,3
,2,21005,动环单元停电告警,3
,2,21006,动环单元红外告警,3
,2,21007,动环单元GPS告警,3
"32,21",2,22001,系统停机,0
"32,21",2,22101,1#管路或1#采样泵故障,0
"32,21",2,22102,2#管路或2#采样泵故障,0
"32,21",2,22103,1#管路和2#管路故障,0
"32,21",2,22104,1#采样阀开关不到位,3
"32,21",2,22105,2#采样阀开关不到位,3
"32,21",2,22106,沉砂缸进样阀开关不到位,3
"32,21",2,22107,沉砂缸排水阀开关不到位,3
"32,21",2,22108,电极桶进样阀开关不到位,3
"32,21",2,22109,电极桶排水阀开关不到位,3
"32,21",2,22110,制样管路或制样泵故障,0
"32,21",2,22200,质控单元加标池1缺水样,3
"32,21",2,22201,质控单元加标池2缺水样,3
"32,21",2,22202,质控单元加标池3缺水样,3
"32,21",2,22203,质控单元加标池4缺水样,3
"32,21",2,22204,质控单元注射泵通讯异常,3
"32,21",2,22205,质控单元多通阀通讯异常,3
"32,21",2,22206,质控单元硬件版本出错,3
"32,21",2,22207,质控单元加标池1排液异常,3
"32,21",2,22208,质控单元加标池2排液异常,3
"32,21",2,22209,质控单元加标池3排液异常,3
"32,21",2,22210,质控单元加标池4排液异常,3
"32,21",2,22300,废液单元溢出告警,3
"32,21",2,22301,废液单元缺液告警,3
"32,21",1,12001,缺试剂告警,3
"32,21",1,12002,缺水样告警,3
"32,21",1,12003,缺蒸馏水告警,3
"32,21",1,12004,缺标液告警,3
"32,21",1,12005,仪表漏液告警,3
"32,21",1,12006,标定异常告警,3
"32,21",1,12007,超量程告警,3
"32,21",1,12008,加热异常,3
"32,21",1,12009,低试剂预警,3
"32,21",1,12010,超上限告警,3
"32,21",1,12011,超下限告警,3
"32,21",1,12012,仪表内部其它异常,3
"32,21",1,12013,滴定异常告警,3
"32,21",1,12014,电极异常告警,3
"32,21",1,12015,量程切换告警,3
"32,21",1,12016,参数设置告警,3
"32,21",1,12017,PH电极电位异常,3
"32,21",1,12018,电导率电极异常,3
"32,21",1,12019,浊度光度异常,3
"32,21",1,12020,溶解氧电极异常,3
"32,21",1,12021,溶解氧光强异常,3
"32,21",1,12101,清洗异常,3
"32,21",1,12102,计量错误,3
"32,21",1,12103,采样异常,3
"32,21",1,12104,消解异常,3
"32,21",1,12105,排空出错,3
"32,21",1,12106,进液排液错误,3
"32,21",1,12107,测量干扰异常,3
"32,21",1,12108,电解液异常,3
"32,21",1,12109,发生断电,3
"32,21",1,12111,内部通信异常,3
"32,21",1,12901,电机故障,0
"32,21",1,12902,温度故障,0
"32,21",1,12903,通讯故障,0
"32,21",1,12904,滴定故障,0
"31,22",1,13001,测量信号报警,3
"31,22",1,13002,温度报警,3
"31,22",1,13003,压力报警,3
"31,22",1,13004,低能量报警,3
"31,22",1,13005,量程报警,3
"31,22",1,13006,流量报警,3
"31,22",1,13101,发生断电,3
"31,22",1,13103,内部通信异常,3
"31,22",1,13104,标定异常,3
"31,22",1,13105,硬件部件异常,3
